Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,
Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,"SB juv comp YOY","SB 2-5 MRIP CPUE","SB 2-5 CT LISTS","SB adult MRIP CPUE","SB adult CT LISTS","AM juv jai","AM adult nad","AM adult mad","AM adult sad","SDF biomass","BF juv comp YOY","BF adult MRIP CPUE","BF adult NC PSIGNS","WF juv comp yoy","WF adult MRIP","WF adult DE trawl","AH adult NEFSC-A","AH adult NEFSC-B","SB 2-5 F","SB adult F","AM juv F","AM adult F","BF juv F","BF adult F","WF juv F","WF adult F","AH juv F","AH adult F","SDF landings","SB 2-5 C","SB adult C","AM adult C","BF adult C","WF juv C","WF adult C","AH adult landings","AM juv C","BF juv C","AH juv landings",
Weight,3.475879,2.015366,2.68561,2.015366,2.68561,1.980792,1.476015,1.419355,1.786854,2.5,2.202296,9.924663,6.08229,3.136882,2.867072,1.603325,1.412273,1.841839,1,1,1,1,1,1,1,1,1,1,1,12.65457,12.65457,21.66583,6.937714,7.457739,7.457739,10,0,0,0,
Target,"1: striped bass 0","2: striped bass 2-5","2: striped bass 2-5","3: striped bass 6+","3: striped bass 6+","4: menhaden juv","5: menhaden adult","5: menhaden adult","5: menhaden adult","6: spiny dogfish","7: bluefish juv","8: bluefish adult","8: bluefish adult","9: weakfish juv","10: weakfish adult","10: weakfish adult","12: Atlantic herring 2+","12: Atlantic herring 2+","2: striped bass 2-5","3: striped bass 6+","4: menhaden juv","5: menhaden adult","7: bluefish juv","8: bluefish adult","9: weakfish juv","10: weakfish adult","11: Atlantic herring 0-1","12: Atlantic herring 2+","6: spiny dogfish","2: striped bass 2-5","3: striped bass 6+","5: menhaden adult","8: bluefish adult","9: weakfish juv","10: weakfish adult","12: Atlantic herring 2+","4: menhaden juv","7: bluefish juv","11: Atlantic herring 0-1",
"2nd target",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,"Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Fishing mortality (4)","Fishing mortality (4)","Fishing mortality (4)","Fishing mortality (4)","Fishing mortality (4)","Fishing mortality (4)","Fishing mortality (4)","Fishing mortality (4)","Fishing mortality (4)","Fishing mortality (4)","Catches (forcing) (-6)","Catches (reference) (6)","Catches (reference) (6)","Catches (reference) (6)","Catches (reference) (6)","Catches (reference) (6)","Catches (reference) (6)","Catches (reference) (6)","Relative catches (reference) (61)","Relative catches (reference) (61)","Relative catches (reference) (61)",
Interval,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,
1985,0.8297,0.04723646,0,0.06347092,0,2.49,0,1.8,0,271.55,1.334032,1.625,0,0.707,0.253,0,2.18,0,0.08935049,0.1737976,0.003576512,0.193086,1.088567,0.2829107,0.01086975,0.222037,0.4516074,0.3950204,0.00514,0.000738,0.00316,0.329,0.0621,2.69E-05,0.00282,0.0592,0.00544,0.00192,0.00207,
1986,0.6511,0.157709,0,0.129158,0,1.82,0,1.77,0,278.2,0.904853,1.669,0,0.937,0.961,0,1.05,0,0.0987844,0.1442665,0.002414426,0.1362563,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0.00332,0.000477,0.000763,0.259,0.13,3.29E-05,0.0058,0.0657,0.00261,0.00177,0.00242,
1987,0.881,0.2619273,0.02927951,0.2166968,0.02403307,0.4,0,1.94,0,550,2.081209,1.653,0,0.466,0.349,0,10.694,0,0.0665535,0.06589811,0.003063653,0.2089894,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0.00343,0.000327,0.000538,0.351,0.115,1.93E-05,0.00339,0.0717,0.00301,0.00175,0.00553,
1988,2.0403,0.2694643,0.02391577,0.2164723,0.01589354,1.35,0,1.86,0,708.4,1.251688,0.972,0,0.939,0.39,0,12.507,0,0.03442877,0.1711593,0.003950942,0.255668,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0.00411,0.000479,0.00103,0.347,0.0855,2.61E-05,0.00469,0.0827,0.00768,0.00113,0.00434,
1989,1.0421,0.2425458,0.03286986,0.2077203,0.02624057,0.95,0,1.2,0,463.9,2.153377,1.315,0,0.8,0.177,0,15.96,0,0.01877306,0.04373693,0.0037644,0.1725631,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0.00533,0.000574,0.00197,0.347,0.0403,8.06E-05,0.00273,0.0979,0.00673,0.0025,0.00202,
1990,1.1092,0.2631093,0.1049685,0.326897,0.07094811,0.55,1.14,0.94,3.69,939.3,1.309067,1.223,0,0.797,0.164,0,15.722,0,0.009358025,0.02578593,0.002826328,0.2021443,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0.0166,0.0011,0.00339,0.424,0.0452,6.59E-05,0.0014,0.0934,0.0076,0.00135,0.000788,
1991,0.709,0.3913315,0.08414288,0.3906256,0.06811233,0.8,0.43,0.78,1.16,547.4,1.403284,1.178,0,0.954,0.211,157.52,23.329,0,0.01292474,0.03179315,0.003050237,0.1677272,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0.0138,0.00164,0.00502,0.401,0.0404,6.67E-05,0.00286,0.104,0.0121,0.00131,0.000294,
1992,0.6992,0.8030465,0.13713,0.9643513,0.09897524,0.52,1.1,1.32,0.86,735.9,0.5706691,0.928,0,1.338,0.139,191.03,63.487,0,0.01347257,0.04084716,0.001750645,0.1016197,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0.018,0.00225,0.00757,0.332,0.0355,2.64E-05,0.00255,0.125,0.0031,0.000205,3.58E-05,
1993,0.8363,0.7166907,0.1307647,0.9183396,0.1318646,0.27,0.9,0.58,0.47,566.3,0.2791988,0.74,0,0.902,0.212,387.58,18.895,0,0.02629584,0.05770249,0.001940259,0.1213065,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0.0222,0.00207,0.00675,0.348,0.0325,1.12E-05,0.000874,0.108,0.0049,0.00058,0.000102,
1994,2.3365,0.89865,0.1718924,1.319089,0.1422427,0.3,0.69,1.39,0.36,514.8,0.568708,0.888,0,1.199,0.338,466.96,15.35,0,0.03510695,0.08081331,0.001895403,0.1028067,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0.0208,0.00303,0.00989,0.293,0.0334,8.5E-06,0.00122,0.0858,0.00302,0.000511,0.000114,
1995,1.2902,1.95425,0.3997882,1.773644,0.2591903,0.29,1.17,1.35,0.17,460.9,0.435895,0.859,0,1.041,0.513,584.09,78.437,0,0.03994861,0.1034025,0.002173212,0.1244394,0.2263803,0.328009,0.00976695,0.1016585,0.02012837,0.248686,0.0236,0.00423,0.0187,0.379,0.0252,1.01E-05,0.00109,0.121,0.00192,0.000403,0.00311,
1996,1.0718,1.62459,0.4171786,2.107564,0.2892329,0.24,0.75,0.58,0.27,768.5,0.6813975,0.965,0,2.019,0.595,1526.77,42.185,0,0.03949698,0.07879242,0.001864101,0.1280824,0.4042769,0.3540276,0.02762281,0.1680804,0.005855177,0.2205091,0.0278,0.00597,0.0252,0.327,0.0276,2.1E-05,0.00211,0.133,0.00112,0.000575,0.000415,
1997,2.922,2.637964,0.4665062,2.202851,0.3409274,0.24,0.4,0.58,0.22,515.5,1.381498,1.117,0,1.714,0.558,431.13,41.441,0,0.05271429,0.1038311,0.002574938,0.1479348,0.3988457,0.4262896,0.05969375,0.2300168,0.02097537,0.2272151,0.0191,0.00871,0.0206,0.296,0.0337,2.46E-05,0.00357,0.144,0.00251,0.000417,0.000542,
1998,1.0768,2.633219,0.679471,2.326192,0.414636,0.49,0.33,0.72,0.75,355.2,0.7265272,0.945,0,1.386,0.472,475.07,23.194,0,0.05298124,0.1827416,0.003264684,0.1573125,0.2023691,0.3602186,0.02838778,0.2933052,0.000604607,0.2206548,0.0223,0.00792,0.0194,0.273,0.0309,1.15E-05,0.0035,0.129,0.0114,0.000303,2.5E-05,
1999,1.4971,2.464576,0.6193287,2.244294,0.5252259,0.66,1.98,0.51,0.25,480.4,1.859608,1.284,0,1.537,0.339,471,15.151,0,0.06192694,0.2359768,0.002107632,0.07883871,0.3115952,0.268096,0.03244264,0.3868135,0.001387948,0.2346732,0.0176,0.0059,0.0197,0.203,0.0245,1.53E-05,0.00425,0.129,0.0036,0.000902,0.000129,
2000,1.2757,2.004244,0.4786974,2.11724,0.4021007,0.59,0.91,1.44,0.85,355.4,0.6558685,1.298,0,1.897,0.389,987.29,23.215,0,0.08235468,0.1984857,0.001160163,0.07664496,0.1740721,0.3215143,0.004042512,0.4673418,0.003593457,0.2030004,0.0124,0.00639,0.0226,0.2,0.033,9.53E-07,0.00357,0.126,0.000968,0.000313,0.000101,
2001,1.697,1.44719,0.3520814,1.75884,0.2691714,0.34,0.65,0.85,0.81,305.4,1.084092,1.493,5.28,0.997,0.269,570.58,28.417,0,0.0772429,0.2121276,0.00184743,0.1183925,0.2969859,0.378698,0.006022104,0.3196989,0.002718311,0.245634,0.00682,0.00583,0.0231,0.266,0.0406,2.9E-06,0.00309,0.141,0.00423,0.000617,0.000101,
2002,2.2179,1.342562,0.4889889,1.616921,0.4526319,0.48,1.56,0.46,0.89,472.1,0.579687,1.185,4.3,0.733,0.216,426.82,86.831,0,0.06312741,0.1968699,0.001621318,0.08394451,0.1518931,0.2413061,0.002178447,0.3862866,0.03316197,0.2208456,0.00646,0.00429,0.0281,0.209,0.0244,1.45E-06,0.00238,0.103,0.00274,0.000246,0.0024,
2003,0.7064,1.404631,0.5684612,1.490931,0.3970776,0.89,0.48,1.01,1.08,469.1,0.4675043,1.275,4.79,1.282,0.121,379.75,38.582,0,0.07321984,0.2166509,0.001776728,0.08385165,0.1085899,0.2863042,0.001314453,0.2611557,0.009029814,0.2544549,0.00316,0.00507,0.0293,0.197,0.0292,1.02E-06,0.0014,0.111,0.0031,0.000204,0.000745,
2004,2.3143,1.14416,0.3050092,1.004124,0.265099,0.69,0.52,0.52,0.45,225,0.9298995,1.444,5.2,0.898,0.209,333.14,45.726,0,0.08523287,0.2019347,0.001770819,0.1022527,0.2115469,0.3165513,0.0055428,0.1350662,0.01315784,0.2664765,0.00378,0.00565,0.0302,0.214,0.0344,1.76E-06,0.000687,0.115,0.00149,0.000264,0.000531,
2005,1.4939,1.554976,0.8166146,1.240979,0.5081565,0.87,1.15,1.35,1.2,441.9,1.16425,1.322,6.38,1.127,0.189,101.69,29.245,0,0.08212727,0.2169061,0.000494813,0.1152197,0.271277,0.2790761,0.002201558,0.1709187,0.00297347,0.2676202,0.00379,0.00703,0.0285,0.192,0.0353,9.840001E-07,0.000601,0.107,0.001,0.0011,7.87E-05,
2006,1.5467,1.74688,0.4241038,1.35212,0.2812585,0.3,0.8,0.4,3.19,830.8,1.100019,1.418,6.07,0.663,0.139,436.05,31.629,0,0.09098608,0.2353027,0.000356987,0.08180123,0.2837068,0.297488,0.002082726,0.2273953,0.1325165,0.3051332,0.00479,0.00734,0.0315,0.186,0.033,7.7E-07,0.000643,0.11,0.000835,0.000835,0.00723,
2007,0.8906,1.093735,0.6524079,0.9292151,0.4751254,0.49,1.2,0.86,0.41,478.6,0.9870082,1.308,8.45,1.039,0.065,194.37,25.763,0,0.09784313,0.260464,0.000345386,0.08028377,0.2136858,0.3217904,0.002508703,0.2822385,0.02065576,0.3163479,0.006,0.00553,0.025,0.218,0.0358,1.61E-06,0.000764,0.112,0.000624,0.000612,0.000313,
2008,1.353,0.9114408,0.3108601,0.8565688,0.2348149,0.34,0.95,0.39,0.63,657.4,1.284304,1.288,6.72,0.758,0.081,148.11,25.647,0,0.09307849,0.2607867,0.000245519,0.07917074,0.176471,0.3155697,0.003836518,0.1789235,0.0288445,0.3065359,0.00603,0.00686,0.0265,0.189,0.0387,1.88E-06,0.000304,0.0901,0.000738,0.000662,0.00106,
2009,0.8286,0.5887133,0.3586015,0.8395572,0.2709973,0.26,0.41,0.9,2.34,557.9,0.5032577,1.149,6.33,0.71,0.035,185.93,0,114.094,0.1063816,0.2998267,0.000359799,0.07532481,0.1302311,0.297648,0.000855681,0.1840684,0.002797555,0.4384798,0.00561,0.00437,0.0283,0.183,0.039,4.83E-07,0.000172,0.107,0.000899,0.000284,0.000463,
2010,1.0397,0.5300414,0.1991576,0.7755962,0.1965214,0.41,0.88,0.85,0.8,532.7,0.7930844,1.202,5.69,0.94,0.076,317.92,0,58.725,0.09241658,0.2327316,0.000421009,0.0900536,0.2745941,0.3485083,0.001616137,0.06981389,0,0.2266148,0.00559,0.00421,0.031,0.225,0.0436,7.92E-07,7.16E-05,0.0794,0.00214,0.000607,0,
2011,1.1114,0.4295771,0.1905833,0.5969068,0.2411584,0.32,0.92,0.63,1.45,712.6,0.6079325,1.282,5.88,0.621,0.07,554.7,0,75.593,0.1137592,0.2403182,0.000323184,0.06004416,0.3607219,0.2976856,0.001444466,0.03571984,0.02315651,0.2459309,0.00978,0.00369,0.029,0.227,0.0366,7.52E-07,4.05E-05,0.0854,0.00129,0.000719,0.000715,
2012,2.7426,0.5496148,0.2038257,0.6189499,0.1543582,0.14,1.78,0.56,1.22,1116,0.7014705,1.357,4.06,0.585,0.099,230.1,0,70.484,0.09272111,0.226489,0.000231826,0.0667704,0.5163862,0.2618054,0.003252691,0.1102371,0.004974755,0.2604871,0.0109,0.00432,0.0279,0.226,0.0311,1.08E-06,0.00016,0.0871,0.000523,0.000726,0.000586,
2013,0.4985,1.132829,0.372398,1.091403,0.2895798,0.2,0.62,0.91,0.86,782.3,1.079907,1.245,5.72,1.056,0.061,190.96,0,76.726,0.09834218,0.2640274,0.000190534,0.06276663,0.4766334,0.2204682,0.000831624,0.09918614,0.0758561,0.2398002,0.00741,0.00455,0.0323,0.168,0.0262,4.02E-07,8.45E-05,0.1,0.000449,0.00096,0.00132,
2014,1.1633,0.970911,0.2850245,0.8003216,0.185914,0.4,1.62,1.53,0.8,0,0.8205044,1.322,4.44,1.07,0.069,104.62,0,97.729,0.09869326,0.2699433,0.000259244,0.07332031,0.5374373,0.1890455,0.000891222,0.0557707,0.03618021,0.2377926,0.0108,0.00499,0.0228,0.173,0.0193,3.21E-07,4.73E-05,0.0944,0.000615,0.000994,0.000792,
2015,1.3322,0.8391373,0.1154168,0.7991629,0.08849418,0.38,2.33,1.98,1.16,465.1,0.7221603,1.13,2.77,0.522,0.082,268.13,0,81.185,0.1042313,0.2835286,0.000315015,0.08145247,0.2656345,0.2647868,0.00391347,0.07953631,0.003311629,0.230566,0.00873,0.00589,0.0178,0.189,0.025,2.85E-06,9.4E-05,0.0813,0.00166,0.000788,3.27E-05,
2016,1.8347,0.898472,0.1982103,0.7801397,0.1258602,0.51,1.56,0.57,0.33,766.8,0.7211776,1.27,4.17,0.982,0.155,436.79,0,322.657,0.1130439,0.3589694,0.000222482,0.05443129,0.5299085,0.1894206,0.001346438,0.0589195,0.024697,0.2574918,0.0122,0.00578,0.0217,0.187,0.0194,7.01E-07,7.76E-05,0.0675,0.000936,0.000793,5.79E-05,
2017,0.7487,1.551376,0.2160776,1.460195,0.1386731,0.11,0.75,0.46,1.33,414.9,0.4563843,1.21,3.61,0.578,0.077,434.78,0,78.562,0.1107925,0.2942654,0.000135961,0.04885952,0.6488021,0.3836895,0.001539058,0.06880698,0.03944127,0.2834153,0.0111,0.00409,0.023,0.175,0.0377,9.09E-07,0.00012,0.05,0.000185,0.000728,0.000208,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
